Date,Value
25/01/2012,1117
24/01/2012,1118
23/01/2012,1134
22/01/2012,1135
19/01/2012,1138
18/01/2012,1131
17/01/2012,1135
16/01/2012,1120
15/01/2012,1108
12/01/2012,1129
11/01/2012,1123
10/01/2012,1135
09/01/2012,1115
08/01/2012,1116
05/01/2012,1112
04/01/2012,1110
03/01/2012,1111
02/01/2012,1107
01/01/2012,1098
29/12/2011,1087
28/12/2011,1116
27/12/2011,1124
26/12/2011,1123
25/12/2011,1115
22/12/2011,1089
21/12/2011,1092
20/12/2011,1109
19/12/2011,1100
18/12/2011,1088
15/12/2011,1089
14/12/2011,1078
13/12/2011,1076
12/12/2011,1060
11/12/2011,1085
08/12/2011,1068
07/12/2011,1069
06/12/2011,1092
05/12/2011,1110
04/12/2011,1085
01/12/2011,1087
30/11/2011,1080
29/11/2011,1041
28/11/2011,1068
27/11/2011,1035
24/11/2011,1017
23/11/2011,1030
22/11/2011,1029
21/11/2011,1048
20/11/2011,1075
17/11/2011,1108
16/11/2011,1112
15/11/2011,1117
14/11/2011,1125
13/11/2011,1134
10/11/2011,1105
09/11/2011,1095
08/11/2011,1128
07/11/2011,1115
06/11/2011,1112
03/11/2011,1106
02/11/2011,1103
01/11/2011,1102
31/10/2011,1137
30/10/2011,1147
27/10/2011,1171
26/10/2011,1141
25/10/2011,1134
24/10/2011,1141
23/10/2011,1144
18/10/2011,1123
17/10/2011,1128
16/10/2011,1135
11/10/2011,1085
10/10/2011,1079
09/10/2011,1035
06/10/2011,1053
05/10/2011,1039
04/10/2011,1020
03/10/2011,1058
02/10/2011,1056
27/09/2011,1080
26/09/2011,1064
25/09/2011,1062
22/09/2011,1038
21/09/2011,1088
20/09/2011,1066
19/09/2011,1034
18/09/2011,1062
15/09/2011,1057
14/09/2011,1035
13/09/2011,1020
12/09/2011,1001
11/09/2011,1025
08/09/2011,1064
07/09/2011,1073
06/09/2011,1034
05/09/2011,1071
04/09/2011,1094
01/09/2011,1132
31/08/2011,1132
30/08/2011,1126
29/08/2011,1122
28/08/2011,1094
25/08/2011,1087
24/08/2011,1115
23/08/2011,1106
22/08/2011,1111
21/08/2011,1076
18/08/2011,1063
17/08/2011,1096
16/08/2011,1076
15/08/2011,1093
14/08/2011,1097
11/08/2011,1065
10/08/2011,1062
08/08/2011,1091
07/08/2011,1075
04/08/2011,1159
03/08/2011,1179
02/08/2011,1192
01/08/2011,1203
31/07/2011,1225
28/07/2011,1237
27/07/2011,1256
26/07/2011,1263
25/07/2011,1263
24/07/2011,1267
21/07/2011,1264
20/07/2011,1259
19/07/2011,1249
18/07/2011,1241
17/07/2011,1251
14/07/2011,1251
13/07/2011,1250
12/07/2011,1251
11/07/2011,1250
10/07/2011,1270
07/07/2011,1260
06/07/2011,1239
05/07/2011,1249
04/07/2011,1250
03/07/2011,1252
30/06/2011,1226
29/06/2011,1229
28/06/2011,1224
27/06/2011,1203
26/06/2011,1204
23/06/2011,1212
22/06/2011,1232
21/06/2011,1223
20/06/2011,1201
19/06/2011,1207
16/06/2011,1203
15/06/2011,1192
14/06/2011,1222
13/06/2011,1211
12/06/2011,1204
09/06/2011,1220
06/06/2011,1231
05/06/2011,1230
02/06/2011,1231
01/06/2011,1250
31/05/2011,1266
30/05/2011,1250
29/05/2011,1250
26/05/2011,1238
25/05/2011,1224
24/05/2011,1252
23/05/2011,1263
22/05/2011,1279
19/05/2011,1294
18/05/2011,1290
17/05/2011,1287
16/05/2011,1288
15/05/2011,1273
12/05/2011,1293
11/05/2011,1301
08/05/2011,1286
05/05/2011,1277
04/05/2011,1293
03/05/2011,1283
02/05/2011,1295
01/05/2011,1300
28/04/2011,1318
27/04/2011,1334
26/04/2011,1335
21/04/2011,1343
20/04/2011,1340
17/04/2011,1335
14/04/2011,1323
13/04/2011,1332
12/04/2011,1332
11/04/2011,1333
10/04/2011,1331
07/04/2011,1329
06/04/2011,1337
05/04/2011,1327
04/04/2011,1332
03/04/2011,1332
31/03/2011,1321
30/03/2011,1320
29/03/2011,1315
28/03/2011,1308
27/03/2011,1304
24/03/2011,1277
23/03/2011,1285
22/03/2011,1297
21/03/2011,1293
17/03/2011,1266
16/03/2011,1248
15/03/2011,1237
14/03/2011,1253
13/03/2011,1245
10/03/2011,1258
09/03/2011,1252
08/03/2011,1266
07/03/2011,1275
06/03/2011,1264
03/03/2011,1274
02/03/2011,1264
01/03/2011,1275
28/02/2011,1289
27/02/2011,1293
24/02/2011,1270
23/02/2011,1301
22/02/2011,1314
21/02/2011,1333
20/02/2011,1335
17/02/2011,1336
16/02/2011,1336
15/02/2011,1314
14/02/2011,1313
13/02/2011,1306
10/02/2011,1302
09/02/2011,1313
08/02/2011,1320
07/02/2011,1322
06/02/2011,1316
03/02/2011,1296
02/02/2011,1298
01/02/2011,1287
31/01/2011,1290
30/01/2011,1282
27/01/2011,1331
26/01/2011,1329
25/01/2011,1323
24/01/2011,1330
23/01/2011,1335
20/01/2011,1337
19/01/2011,1340
18/01/2011,1338
17/01/2011,1334
16/01/2011,1337
13/01/2011,1336
12/01/2011,1339
11/01/2011,1335
10/01/2011,1323
09/01/2011,1333
06/01/2011,1335
05/01/2011,1332
04/01/2011,1333
03/01/2011,1335
02/01/2011,1327
