Date, Vol
30.01.11, 17.83 
02.02.11, 15.61 
07.02.11, 13.89 
10.02.11, 14.49 
15.02.11, 12.98 
20.02.11, 14.02 
23.02.11, 18.09 
28.02.11, 16.65 
03.03.11, 17.84 
08.03.11, 18.32 
13.03.11, 18.87 
16.03.11, 17.19 
22.03.11, 16.4 
27.03.11, 14.93 
30.03.11, 13.7 
04.04.11, 12.73 
07.04.11, 13.51 
12.04.11, 13.02
17.04.11, 11.87 
26.04.11, 13.66
01.05.11, 15.07
04.05.11, 13.71
11.05.11, 12.38
16.05.11, 14.2
19.05.11, 13.18
24.05.11, 16.09
29.05.11, 13.64
01.06.11, 14.18
06.06.11, 14.89
13.06.11, 15.27
16.06.11, 16.03
21.06.11, 15.83
26.06.11, 16.45
29.06.11, 14.87
04.07.11, 14.3
07.07.11, 13.31
12.07.11, 15.51
17.07.11, 15.45
20.07.11, 14.44
25.07.11, 14.92
28.07.11, 15.95
02.08.11, 18.63
07.08.11, 29.07
11.08.11, 31.27
16.08.11, 25.61
21.08.11, 26.15
24.08.11, 23.61
29.08.11, 20.84
01.09.11, 20.61
06.09.11, 32.64
11.09.11, 33.53 
14.09.11, 29.71
19.09.11, 33.79
22.09.11, 33.32
27.09.11, 28.37
04.10.11, 33.97
09.10.11, 30.39
16.10.11, 21.09
23.10.11, 24.83
26.10.11, 23.38
31.10.11, 25.43
03.11.11, 28.66
08.11.11, 26.96
13.11.11, 26.49
16.11.11, 29.02
21.11.11, 29.22
24.11.11, 27.61
29.11.11, 26.49
04.12.11, 26.28
07.12.11, 28.16
12.12.11, 30.63
15.12.11, 26.1
20.12.11, 23.21
25.12.11, 24.38
28.12.11, 23.13
02.01.12, 23.89
05.01.12, 22.71
10.01.12, 19.5
15.01.12, 21.83
18.01.12, 19.29
24.01.12, 19.52
